,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
0,Tata Consultancy Services Ltd,37.3,39.1,"['8,126', '8,131', '8,042', '8,118', '8,049', '7,008', '7,475', '8,701']","['21.66', '21.67', '21.43', '21.63', '21.45', '18.68', '19.92', '23.19']","['-435', '524', '445', '-152', '-374']","['71', '80', '86', '82', '81']"
1,Infosys Ltd,33.4,27.2,"['4,074', '3,798', '4,019', '4,457', '4,321', '4,233', '4,845', '5,197']","['9.32', '8.69', '9.44', '10.47', '10.15', '9.94', '11.37', '12.20']","['1,068', '4,555', '3,925', '1,241', '4,118']","['56', '62', '64', '64', '61']"
2,HCL Technologies Ltd,28.7,19.8,"['2,550', '2,230', '2,711', '2,944', '3,172', '2,931', '3,143', '3,969']","['9.40', '8.22', '9.99', '10.85', '11.69', '10.80', '11.58', '14.63']","['1,176', '52', '153', '44', '307']","['76', '61', '68', '64', '65']"
3,Wipro Ltd,25.4,19.6,"['2,484', '2,388', '2,553', '2,456', '2,326', '2,390', '2,466', '2,968']","['4.12', '3.96', '4.47', '4.30', '4.07', '4.18', '4.31', '5.19']","['1,576', '-374', '1,652', '717', '2,936']","['-21', '-172', '-155', '-459', '-539']"
4,Tech Mahindra Ltd,27.2,19.0,"['1,132', '959', '1,124', '1,146', '804', '972', '1,065', '1,310']","['11.52', '9.95', '11.65', '11.87', '8.32', '10.06', '11.01', '13.54']","['-314', '44', '-26', '298', '915']","['82', '89', '88', '90', '84']"
5,Larsen & Toubro Infotech Ltd,48.3,27.5,"['360', '382', '388', '366', '416', '397', '430', '494']","['20.77', '22.00', '22.32', '21.06', '23.88', '22.79', '24.63', '28.30']","['42', '-23', '-8', '-9', '32']","['74', '75', '77', '73', '67']"
6,Mindtree Ltd,41.8,29.7,"['198', '93', '135', '197', '206', '213', '254', '326']","['12.08', '5.64', '8.20', '11.97', '12.53', '12.94', '15.40', '19.82']","['2', '6', '14', '65', '-7']","['67', '68', '78', '70', '72']"
7,Mphasis Ltd,41.8,19.7,"['266', '265', '273', '294', '353', '275', '299', '326']","['14.29', '14.21', '14.67', '15.75', '18.94', '14.75', '16.03', '17.43']","['-0', '92', '136', '-45', '-7']","['87', '40', '43', '41', '109']"
8,L&T Technology Services Ltd,52.7,20.7,"['192', '204', '206', '204', '205', '117', '166', '186']","['18.41', '19.60', '19.78', '19.56', '19.60', '11.21', '15.78', '17.72']","['86', '-15', '-12', '81', '52']","['96', '86', '80', '94', '76']"
9,Tata Elxsi Ltd,86.2,29.9,"['71', '49', '50', '75', '82', '69', '79', '105']","['11.45', '7.83', '8.00', '12.11', '13.18', '11.06', '12.67', '16.89']","['-2', '7', '3', '-3', '29']","['116', '-551', '88', '81', '74']"
10,Oracle Financial Services Software Ltd,16.6,26.3,"['326', '377', '359', '457', '269', '480', '392', '430']","['38.00', '43.98', '41.80', '53.20', '31.35', '55.82', '45.59', '49.94']","['194', '-354', '183', '-11', '15']","['86', '99', '104', '76', '66']"
11,Persistent Systems Ltd,47.0,16.1,"['84', '82', '86', '88', '84', '90', '102', '121']","['10.56', '10.79', '11.26', '11.51', '10.97', '11.78', '13.35', '15.82']","['173', '-167', '20', '7', '33']","['83', '74', '74', '69', '66']"
12,Coforge Ltd,44.8,19.3,"['106', '88', '120', '123', '114', '80', '121', '122']","['17.08', '14.17', '19.15', '19.73', '18.18', '13.20', '19.93', '20.14']","['-16', '-35', '61', '37', '14']","['74', '-126', '77', '-424', '-257']"
13,Tanla Platforms Ltd,44.8,44.6,"['10', '-76', '-47', '1', '-89', '79', '81', '94']","['0.84', '-5.39', '-3.27', '0.05', '-6.11', '5.16', '5.99', '6.87']","['-23', '-60', '-17', '-47', '-5']","['171', '203', '304', '260', '123']"
14,Affle India Ltd,78.4,45.9,"['14', '13', '16', '21', '15', '19', '27', '31']","['1.19', '1.09', '1.22', '1.68', '1.20', '1.47', '2.11', '2.40']","['9', '6', '49', '-20']","['36', '70', '81', '76']"
15,KPIT Technologies Ltd,62.1,12.6,"['30', '31', '36', '43', '37', '24', '28', '42']","['1.10', '1.12', '1.31', '1.56', '1.35', '0.88', '1.02', '1.52']","['0', '201', '75', '10']","['', '337', '76', '55']"
16,Happiest Minds Technologies Ltd,92.5,39.9,"['27', '22', '5', '49', '34', '42', '37', '35']","['', '', '', '', '2.32', '2.87', '2.51', '2.38']","['4', '0', '-0', '', '']","['171', '138', '124', '73', '57']"
17,Brightcom Group Ltd,17.8,15.9,"['108', '83', '105', '144', '108', '101', '103', '139']","['1.81', '1.40', '1.77', '2.42', '1.81', '1.60', '1.62', '2.18']","['5', '-5', '169', '-76', '-51']","['164', '199', '209', '146', '173']"
18,Birlasoft Ltd,27.7,15.8,"['66', '42', '41', '73', '69', '56', '69', '96']","['2.41', '1.52', '1.48', '2.63', '2.50', '2.03', '2.49', '3.48']","['-46', '108', '-61', '43', '-8']","['69', '85', '107', '76', '91']"
19,Cyient Ltd,20.4,13.2,"['177', '90', '98', '108', '45', '81', '84', '95']","['15.62', '8.23', '8.96', '9.85', '4.11', '7.40', '7.63', '8.67']","['-235', '116', '104', '43', '193']","['79', '79', '86', '77', '79']"
20,Route Mobile Ltd,60.4,28.9,"['13', '13', '19', '14', '27', '33', '38', '35']","['', '', '', '', '', '5.78', '6.62', '6.13']","['135', '-61', '-57', '6', '32']","['22', '26', '70', '63', '78']"
21,Latent View Analytics Ltd,105,22.8,"['23', '22', '22', '22', '50']","['28.10', '27.67', '27.39', '1.25', '2.52']","['', '', '12', '28', '60']","['68', '60', '64', '62', '73']"
22,Intellect Design Arena Ltd,27.4,21.6,"['43', '3', '-17', '-11', '41', '43', '59', '80']","['3.26', '0.26', '-1.29', '-0.86', '3.10', '3.22', '4.47', '6.06']","['106', '-54', '-22', '38', '14']","['100', '68', '82', '81', '51']"
23,Firstsource Solutions Ltd,17.2,13.0,"['98', '91', '67', '90', '92', '89', '105', '121']","['1.42', '1.32', '0.97', '1.29', '1.32', '1.28', '1.52', '1.74']","['25', '203', '-137', '-98', '96']","['48', '42', '57', '50', '35']"
24,Zensar Technologies Ltd,21.8,14.9,"['83', '75', '80', '40', '70', '73', '0', '138']","['3.67', '3.31', '3.55', '1.75', '3.08', '3.25', '0.02', '6.12']","['49', '-20', '64', '-33', '4']","['55', '59', '-22', '56', '28']"
25,Sonata Software Ltd,22.4,30.7,"['65', '67', '72', '76', '62', '50', '57', '54']","['6.21', '6.38', '6.87', '7.21', '5.88', '4.75', '5.44', '5.12']","['-9', '76', '-28', '15', '46']","['51', '53', '-42', '-21', '49']"
26,Mastek Ltd,28.2,24.8,"['27', '24', '25', '26', '34', '40', '51', '57']","['11.43', '10.10', '10.26', '10.79', '13.99', '16.54', '20.76', '23.03']","['39', '-68', '-2', '26', '-40']","['100', '66', '90', '80', '46']"
27,C.E. Info Systems Ltd,158,15.4,"['22', '25', '16']","['58.60', '6.28', '2.96']","['-0', '3', '4', '17']","['130', '59', '46', '43']"
28,eClerx Services Ltd,18.8,17.6,"['59', '40', '44', '70', '55', '52', '61', '71']","['15.29', '10.76', '11.87', '18.89', '14.98', '14.00', '17.48', '20.36']","['26', '104', '17', '66', '-17']","['56', '70', '33', '36', '43']"
29,Nazara Technologies Ltd,236,1.55,"['-3.30', '-27.90', '24.50', '10.20', '3.15', '5.30', '10.10', '8.50']","['', '', '', '', '1.03', '1.74', '3.32', '2.61']","['33', '-5', '24', '-35', '19']","['58', '50', '91', '96', '100']"
30,Hinduja Global Solutions Ltd,9.36,18.6,"['55', '40', '48', '71', '43', '48', '81', '75']","['26.28', '18.97', '22.92', '34.19', '20.74', '22.97', '39.04', '36.11']","['-23', '-20', '23', '-37', '91']","['71', '61', '64', '66', '68']"
31,Infibeam Avenues Ltd,60.2,2.51,"['76', '28', '25', '26', '29', '12', '9', '17']","['0.57', '0.21', '0.19', '0.20', '0.22', '0.09', '0.07', '0.13']","['-0', '0', '1', '2', '11']","['54', '11', '-3', '-5', '28']"
32,Newgen Software Technologies Ltd,24.1,20.7,"['63', '3', '4', '24', '41', '9', '29', '35']","['8.98', '0.44', '0.61', '3.44', '5.93', '1.30', '4.18', '5.06']","['-6', '5', '11', '111', '12']","['208', '216', '171', '158', '149']"
33,Rategain Travel Technologies Ltd,,-16.3,"['-11.14', '-1.90', '0.09']","['-170.08', '-0.24', '0.01']","['-19', '33']","['71', '97']"
34,CMS Info Systems Ltd,24.8,16.9,"['37', '49', '66']","['2.52', '3.31', '4.48']","['-2', '55', '51', '42', '-50']","['-223', '-335', '-95', '-211', '-163']"
35,Vakrangee Ltd,36.7,2.37,"['6', '8', '11', '21', '31', '12', '13', '17']","['0.06', '0.07', '0.10', '0.20', '0.29', '0.11', '0.13', '0.16']","['0', '13', '11', '3', '-3']","['113', '76', '85', '110', '119']"
36,R Systems International Ltd,22.2,33.2,"['12', '12', '11', '23', '10', '16', '27', '29']","['1.00', '0.96', '0.91', '1.93', '0.79', '1.34', '2.26', '2.45']","['9', '18', '-5', '27', '26']","['70', '94', '77', '64', '70']"
37,Black Box Ltd,39.0,"1,473","['-98', '14', '36', '-49', '11', '5', '34', '37']","['-32.96', '4.56', '11.94', '-16.53', '3.60', '1.82', '11.55', '12.34']","['32', '-133', '11', '2', '-12']","['39', '35', '51', '64', '-30']"
38,Subex Ltd,65.0,9.18,"['12.90', '5.28', '6.30', '-312.72', '31.99', '15.16', '12.25', '8.71']","['0.23', '0.09', '0.11', '-5.56', '0.57', '0.27', '0.22', '0.15']","['-12', '-3', '-2', '44', '-2']","['38', '41', '56', '87', '108']"
39,BLS International Services Ltd,23.0,11.3,"['17', '22', '1', '21', '9', '-1', '14', '14']","['1.64', '2.12', '0.07', '2.05', '0.87', '-0.08', '1.33', '1.36']","['8', '27', '17', '27', '-20']","['5', '2', '34', '98', '80']"
40,RPSG Ventures Ltd,,-4.27,"['9', '-6', '-25', '18', '-8', '-4', '16', '17']","['3.42', '-2.18', '-9.44', '6.84', '-2.87', '-1.38', '5.92', '6.45']","['146', '-26', '199', '-209']","['73', '37', '48', '40']"
41,Datamatics Global Services Ltd,12.1,11.3,"['25', '19', '20', '13', '12', '14', '15', '22']","['4.28', '3.26', '3.38', '2.22', '1.96', '2.29', '2.62', '3.76']","['-7', '-4', '18', '-3', '24']","['69', '76', '74', '71', '76']"
42,Zen Technologies Ltd,399,2.01,"['11.73', '13.55', '16.85', '15.37', '10.48', '17.81', '-0.69', '0.77']","['1.52', '1.76', '2.18', '1.99', '1.36', '2.31', '-0.09', '0.10']","['6.98', '-14.53', '4.77', '15.01', '-4.60']","['273.74', '638.18', '240.10', '285.73', '322.41']"
43,Expleo Solutions Ltd,31.9,28.5,"['9', '7', '9', '10', '14', '14', '13', '13']","['8.72', '6.46', '8.73', '10.10', '13.63', '13.91', '12.28', '12.30']","['23', '-23', '2', '2', '10']","['70', '101', '71', '93', '105']"
44,Accelya Solutions India Ltd,24.3,17.4,"['26', '26', '33', '27', '24', '4', '2', '11']","['17.73', '17.69', '21.81', '18.10', '15.86', '2.39', '1.37', '7.31']","['9', '7', '-4', '6', '-1']","['85', '56', '53', '40', '44']"
45,Cigniti Technologies Ltd,15.5,32.9,"['30', '28', '36', '28', '29', '29', '25', '26']","['10.85', '10.30', '12.90', '10.15', '10.51', '10.45', '9.05', '9.45']","['', '1', '4', '28', '-30']","['221', '97', '90', '130', '108']"
46,Sasken Technologies Ltd,10.5,21.7,"['27', '23', '23', '23', '9', '28', '23', '34']","['16.04', '13.55', '13.29', '15.58', '6.28', '18.79', '15.47', '22.52']","['-80', '3', '-6', '9', '1']","['62', '63', '72', '69', '74']"
47,InfoBeans Technologies Ltd,26.1,22.8,"['2', '5', '7', '8', '2', '8', '5', '14']","['0.71', '1.94', '2.98', '3.21', '0.68', '3.19', '1.99', '5.99']","['1', '0', '-1', '2', '5']","['33', '58', '57', '79', '83']"
48,Genesys International Corporation Ltd,121,-9.04,"['1.65', '5.41', '2.42', '1.07', '-7.01', '-27.26', '4.86', '3.32']","['0.53', '1.74', '0.78', '0.34', '-2.25', '-8.75', '1.56', '1.06']","['2', '-4', '16', '-20', '37']","['132', '133', '53', '108', '120']"
49,Nucleus Software Exports Ltd,25.5,16.6,"['17.08', '16.57', '21.09', '23.20', '28.14', '36.33', '29.45', '24.82']","['5.88', '5.71', '7.26', '7.99', '9.69', '12.51', '10.14', '8.55']","['-39', '-5', '0', '-1', '0']","['72', '63', '114', '87', '44']"
50,Quick Heal Technologies Ltd,12.1,14.9,"['24', '12', '38', '18', '6', '26', '28', '13']","['3.36', '1.88', '5.85', '2.80', '0.94', '3.99', '4.42', '1.98']","['0', '0', '-4', '3', '-2']","['122', '133', '134', '138', '106']"
51,Moschip Technologies Ltd,252,-15.9,"['-11.31', '-3.86', '-9.83', '-8.71', '-23.61', '-3.15', '-3.43', '-1.45']","['-0.77', '-0.26', '-0.65', '-0.55', '-1.49', '-0.20', '-0.22', '-0.09']","['-1', '0', '1', '-1', '-0']","['56', '-26', '220', '176', '155']"
52,Xchanging Solutions Ltd,19.0,11.9,"['16', '12', '19', '6', '18', '18', '15', '15']","['1.48', '1.04', '1.70', '0.56', '1.61', '1.66', '1.35', '1.35']","['19', '39', '-49', '2', '29']","['49', '47', '41', '80', '70']"
53,3i Infotech Ltd,,2.03,"['35', '2', '13', '27', '25', '10', '15', '22']","['0.22', '0.01', '0.08', '0.17', '0.15', '0.06', '0.09', '0.14']","['-64', '-23', '-43', '-51', '14']","['81', '91', '99', '60', '59']"
54,63 Moons Technologies Ltd,,-2.05,"['-4', '-11', '39', '-15', '-59', '-4', '-0', '0']","['-0.86', '-2.41', '8.48', '-3.22', '-12.85', '-0.84', '-0.10', '0.00']","['214', '102', '-254', '-166', '289']","['-1,371', '135', '53', '204', '87']"
55,Ramco Systems Ltd,,8.88,"['9', '3', '7', '6', '-6', '14', '17', '18']","['2.85', '0.93', '2.42', '1.89', '-1.91', '4.52', '5.45', '5.83']","['-4', '1', '3', '2', '-2']","['92', '157', '112', '117', '143']"
56,Saksoft Ltd,16.5,19.5,"['10', '9', '10', '10', '10', '10', '11', '12']","['9.86', '8.89', '9.32', '9.15', '9.36', '9.67', '10.24', '11.51']","['-4', '3', '4', '-4', '-0']","['59', '83', '72', '113', '80']"
57,Kellton Tech Solutions Ltd,12.3,17.0,"['20', '19', '18', '19', '15', '14', '16', '22']","['2.03', '1.96', '1.92', '1.93', '1.51', '1.50', '1.65', '2.27']","['0', '-2', '0', '4', '12']","['768', '80', '98', '-221', '117']"
58,Allsec Technologies Ltd,26.5,14.1,"['-2', '12', '13', '9', '11', '6', '6', '9']","['-1.23', '7.93', '8.82', '5.61', '7.14', '3.96', '4.23', '5.82']","['-2', '-15', '-7', '8', '-8']","['110', '64', '87', '64', '60']"
59,XT Global Infotech Ltd,42.6,13.9,"['0.21', '0.20', '0.27', '1.54', '1.88', '-0.27', '1.74', '14.42']","['0.17', '0.04', '0.05', '0.16', '0.16', '-0.02', '0.15', '1.20']","['6', '-9']","['77', '83']"
60,Onward Technologies Ltd,31.5,10.2,"['3.20', '3.36', '3.00', '2.86', '-2.98', '0.39', '2.43', '2.35']","['2.02', '2.11', '1.88', '1.78', '-1.86', '0.24', '1.50', '1.44']","['-0', '-1', '1', '1', '-1']","['81', '90', '95', '91', '86']"
61,Visesh Infotecnics Ltd,,-1.22,"['-1.49', '-2.66', '-2.21', '-2.12', '3.67', '-1.38', '-1.40', '-1.33']","['-0.00', '-0.01', '-0.01', '-0.01', '0.01', '-0.00', '-0.00', '-0.00']","['-1.42', '-0.09', '0.37', '-0.36', '-0.28']","['102.77', '91.98', '87.47', '143.57', '126.98']"
62,Aurionpro Solutions Ltd,,-21.3,"['11', '9', '10', '6', '6', '4', '7', '9']","['4.67', '3.93', '4.44', '2.52', '2.82', '1.83', '3.14', '3.78']","['-6', '-4', '3', '2', '17']","['125', '126', '119', '126', '109']"
63,FCS Software Solutions Ltd,,-0.04,"['-116.38', '-2.54', '-2.78', '-2.68', '-15.81', '1.03', '1.38', '0.52']","['-0.68', '-0.01', '-0.02', '-0.02', '-0.09', '0.01', '0.01', '0.00']","['45', '-24', '3', '1', '-4']","['91', '73', '108', '117', '81']"
64,ASM Technologies Ltd,49.4,15.2,"['-0.73', '-1.93', '-0.76', '-0.95', '4.88', '3.80', '2.24', '1.09']","['-0.73', '-1.93', '-0.76', '-0.95', '4.88', '3.80', '2.24', '1.09']","['-0', '4', '3', '0', '0']","['104', '74', '79', '60', '73']"
65,Allied Digital Services Ltd,23.0,4.16,"['8.12', '7.32', '6.11', '2.98', '2.85', '4.39', '3.98', '6.96']","['1.62', '1.46', '1.22', '0.59', '0.57', '0.87', '0.79', '1.39']","['19', '9', '-14', '-12', '2']","['132', '151', '187', '272', '433']"
66,Take Solutions Ltd,,-33.5,"['28', '45', '50', '50', '-158', '-242', '-116', '-25']","['1.88', '3.05', '3.38', '3.41', '-10.68', '-16.36', '-7.81', '-1.72']","['-6', '-1', '13', '16', '2']","['67', '76', '82', '99', '100']"
67,Virinchi Ltd,37.4,0.73,"['16.88', '11.03', '11.67', '12.98', '10.77', '2.92', '0.63', '0.93']","['5.42', '3.37', '3.57', '3.97', '3.29', '0.89', '0.19', '0.27']","['-1', '-2', '-2', '1', '6']","['132', '142', '166', '105', '64']"
68,Cybertech Systems & Software Ltd,24.3,22.3,"['4.70', '2.92', '4.71', '5.02', '0.58', '5.17', '3.76', '12.36']","['1.71', '1.06', '1.71', '1.82', '0.21', '1.88', '1.37', '4.48']","['-12', '-0', '2', '-3', '2']","['72', '89', '73', '71', '83']"
69,Trigyn Technologies Ltd,9.49,11.7,"['14.48', '14.99', '14.64', '17.22', '3.25', '17.85', '17.81', '14.09']","['4.70', '4.87', '4.76', '5.59', '1.06', '5.80', '5.79', '4.58']","['-6', '2', '-10', '-1', '-3']","['74', '88', '97', '100', '105']"
70,Xelpmoc Design and Tech Ltd,,7.85,"['-1.30', '-1.39', '-1.10', '-0.16', '0.47', '1.67', '1.56', '1.00']","['-0.95', '-1.01', '-0.80', '-0.12', '0.34', '1.22', '1.14', '0.73']","['0.17', '0.04', '1.96', '0.29', '-1.92']","['365.00', '91.25', '141.64', '56.94', '44.56']"
71,Innovana Thinklabs Ltd,29.0,25.9,"['11', '10', '8', '7', '16']","['10.85', '10.11', '8.23', '6.77', '16.02']","['-0', '5', '9', '24', '8']","['0', '0', '0', '0', '-415']"
72,Ducon Infratechnologies Ltd,,0.43,"['0.72', '0.84', '-0.37', '-0.36', '0.75', '0.00', '0.23', '0.78']","['0.07', '0.08', '-0.04', '-0.03', '0.07', '0.00', '0.02', '0.07']","['', '0', '1', '-1', '0']","['155', '142', '128', '157', '140']"
73,AXISCADES Technologies Ltd,378,-7.06,"['0.67', '0.94', '4.54', '8.03', '16.24', '-0.97', '-15.55', '5.49']","['0.18', '0.25', '1.20', '2.13', '4.30', '-0.26', '-4.12', '1.45']","['-0', '2', '-3', '6', '-4']","['147', '115', '109', '82', '86']"
74,Ksolves India Ltd,27.8,120,"['0.88', '1.14', '2.79', '3.16', '4.00', '3.06', '3.90']","['1.00', '0.95', '2.32', '2.63', '3.36', '2.58', '3.29']","['0', '', '', '', '-0']","['', '0', '0', '0', '0']"
75,Megasoft Ltd,112,1.31,"['0.04', '1.02', '0.11', '1.14', '-1.56', '0.77', '0.73', '0.16']","['0.01', '0.14', '0.01', '0.15', '-0.21', '0.10', '0.10', '0.02']","['14.82', '-18.57', '0.47', '11.04', '-9.30']","['110.12', '107.62', '130.68', '207.62', '234.94']"
