,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
76,Aurum Proptech Ltd,,3.69,"['2.46', '14.65', '6.96', '0.86', '1.50', '1.22', '2,510.84', '27.76']","['0.87', '5.16', '2.45', '0.30', '0.52', '0.42', '840.25', '9.70']","['0.00', '0.01', '0.47', '-0.44', '0.08']","['', '', '126.66', '88.44', '178.67']"
77,Mindteck (India) Ltd,19.2,8.17,"['2.67', '0.35', '-1.55', '-22.74', '-40.86', '1.67', '2.32', '1.45']","['1.04', '0.14', '-0.60', '-8.88', '-15.95', '0.65', '0.91', '0.57']","['-8', '1', '5', '-3', '8']","['57', '60', '56', '64', '63']"
78,SecureKloud Technologies Ltd,,6.55,"['-76', '-396', '12', '11', '-129', '-3', '3', '2']","['-24.85', '-129.84', '3.85', '3.45', '-42.23', '-0.92', '1.03', '0.78']","['0', '3', '-2', '3', '10']","['245', '224', '193', '111', '82']"
79,Intrasoft Technologies Ltd,26.3,3.06,"['2.31', '0.39', '0.55', '1.22', '-0.05', '2.16', '0.62', '3.94']","['1.57', '0.26', '0.37', '0.83', '-0.03', '1.47', '0.42', '2.67']","['446', '-462', '2', '-2', '4']","['-194', '61', '43', '14', '13']"
80,Softsol India Ltd,14.1,9.29,"['2', '1', '2', '2', '2', '4', '1', '5']","['1.03', '0.53', '1.28', '1.01', '1.19', '2.22', '0.37', '2.95']","['12', '6', '0', '3', '-17']","['60', '60', '62', '51', '104']"
81,Inspirisys Solutions Ltd,,-17.4,"['11', '3', '-1', '-1', '1', '-3', '-2', '1']","['3.30', '0.72', '-0.13', '-0.26', '0.28', '-0.68', '-0.60', '0.14']","['16', '-7', '-17', '15', '-8']","['86', '13', '19', '1', '88']"
82,Airan Ltd,35.4,6.13,"['0.40', '1.39', '1.39', '1.40', '2.21', '0.09', '0.70', '2.29']","['0.03', '0.11', '0.11', '0.11', '0.18', '0.01', '0.06', '0.18']","['0.00', '-1.78', '0.08', '1.24', '0.02']","['372.15', '87.48', '75.21', '113.95', '130.94']"
83,Goldstone Technologies Ltd,945,-1.29,"['-1.35', '-0.10', '0.14', '-0.35', '0.18', '0.14', '0.07', '0.26']","['-0.72', '-0.05', '0.07', '-0.19', '0.10', '0.07', '0.04', '0.14']","['0.93', '-0.24', '2.65', '0.00', '-3.48']","['196.05', '89.77', '109.62', '88.31', '59.27']"
84,One Point One Solutions Ltd,175,-28.6,"['2.80', '0.15', '0.86', '1.09', '-21.09', '-6.00', '-3.51', '-3.29']","['0.15', '0.01', '0.05', '0.06', '-1.12', '-0.32', '-0.19', '-0.18']","['0', '0', '2', '-2', '0']","['', '', '86', '75', '80']"
85,Apollo Micro Systems Ltd,26.2,3.41,"['10.55', '3.35', '2.89', '6.34', '1.43', '0.96', '3.62', '2.54']","['5.08', '1.61', '1.39', '3.05', '0.69', '0.46', '1.74', '1.22']","['0', '0', '0', '1', '3']","['333', '333', '179', '261', '212']"
86,Silver Touch Technologies Ltd,256,1.16,"['5', '0', '0', '1', '3']","['4.31', '0.11', '0.26', '0.48', '2.02']","['', '', '1', '-2', '0']","['45', '47', '76', '180', '77']"
87,Palred Technologies Ltd,,8.92,"['-4.39', '-1.24', '-0.93', '-1.69', '-0.79', '0.30', '1.20', '0.97']","['-4.51', '-1.27', '-0.96', '-1.74', '-0.81', '0.31', '1.23', '1.00']","['3', '9', '-5', '2', '4']","['106', '54', '74', '72', '53']"
88,Alankit Ltd,26.6,12.2,"['5.65', '3.20', '3.11', '4.57', '3.07', '2.76', '3.25', '3.61']","['0.40', '0.22', '0.22', '0.32', '0.21', '0.19', '0.23', '0.25']","['10', '1', '3', '2', '0']","['1,114', '257', '38', '-1,083', '-196']"
89,Dynacons Systems & Solutions Ltd,16.9,21.6,"['1.81', '1.21', '1.85', '1.56', '1.50', '1.42', '1.94', '2.73']","['1.97', '1.32', '2.02', '1.70', '1.64', '1.55', '2.11', '2.98']","['-1', '1', '-0', '0', '2']","['85', '93', '77', '99', '94']"
90,Sigma Solve Ltd,72.9,31.2,"['0.91', '5.58']","['3.02', '13.57']","['7.86', '3.10']","['141.81', '62.30']"
91,Cressanda Solutions Ltd,"3,023",0.00,"['-0.06', '-0.01', '-0.04', '-0.02', '-0.02', '0.00', '0.00', '-0.01']","['-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '0.00', '0.00', '-0.00']","['-0.07', '-0.01', '0.01', '-1.65', '0.00']","['186.38', '', '1,611.39', '9,589.55', '0.00']"
92,IRIS Business Services Ltd,63.1,11.3,"['2.82', '2.90', '-0.92', '0.44', '0.51']","['1.49', '1.54', '-0.48', '0.23', '0.27']","['0.00', '0.00', '0.00', '7.25', '-4.89']","['109.40', '141.32', '80.23', '55.51', '82.55']"
93,ABM Knowledgeware Ltd,12.9,11.0,"['2.98', '2.01', '4.00', '3.59', '5.72', '6.19', '5.07', '4.85']","['1.49', '1.00', '2.00', '1.79', '2.86', '3.09', '2.53', '2.42']","['1', '-7', '1', '-2', '3']","['146', '108', '80', '133', '174']"
94,Ceinsys Tech Ltd,29.4,3.13,"['9.25', '5.26', '7.05', '7.12', '5.65', '-6.27', '3.78', '4.34']","['8.32', '4.73', '6.34', '6.40', '5.08', '-5.64', '3.40', '3.90']","['0', '-0', '2', '2', '1']","['73', '-8', '49', '111', '490']"
95,Intense Technologies Ltd,9.12,26.8,"['0.01', '1.65', '2.32', '1.29', '12.02', '1.71', '3.13', '1.29']","['0.00', '0.74', '1.04', '0.58', '5.36', '0.76', '1.40', '0.58']","['-0', '-7', '6', '-6', '-2']","['218', '222', '105', '173', '187']"
96,E2E Networks Ltd,,-6.01,"['1.39', '0.50']","['51.42', '0.43']","['0.00', '0.00', '0.12', '0.39', '1.73']","['73.00', '91.25', '1.84', '18.94', '19.32']"
97,TechNVision Ventures Ltd,43.5,,"['-36', '-0', '3', '3', '-8', '-1', '2', '8']","['-58.12', '-0.22', '4.49', '4.54', '-12.70', '-1.00', '3.62', '12.10']","['0', '1', '-0', '0', '0']","['143', '262', '263', '342', '259']"
98,GSS Infotech Ltd,33.1,-2.65,"['1.07', '1.70', '1.20', '1.70', '1.46', '-0.95', '-1.95', '0.07']","['0.63', '1.00', '0.71', '1.00', '0.86', '-0.56', '-1.15', '0.04']","['103', '-137', '-11', '-3', '-5']","['100', '48', '99', '46', '57']"
99,Vedavaag Systems Ltd,22.6,5.68,"['2.16', '1.77', '1.13', '1.97', '0.63', '1.24', '1.43', '1.72']","['0.94', '0.77', '0.49', '0.86', '0.27', '0.54', '0.62', '0.75']","['-0.18', '0.01', '0.44', '1.54', '6.11']","['207.66', '256.24', '325.27', '191.93', '-121.61']"
100,CG-VAK Software & Exports Ltd,19.2,24.3,"['0.33', '0.71', '0.90', '0.95', '1.28', '1.83', '1.63', '1.75']","['0.65', '1.41', '1.78', '1.88', '2.53', '3.62', '3.23', '3.47']","['0.15', '-0.03', '-0.58', '0.98', '1.12']","['128.11', '143.93', '153.47', '136.34', '125.60']"
101,DRC Systems India Ltd,153,-11.8,"['-0.39', '-0.30', '-0.41', '0.62', '0.13', '0.15', '0.07']","['', '', '-1.06', '1.60', '0.34', '0.39', '0.18']","['-0.05', '-0.04', '-0.26', '1.18']","['34.18', '66.99', '122.56', '143.94']"
102,Accel Ltd,16.9,-7.06,"['7.32', '-1.03', '-0.57', '-1.62', '-1.48', '-1.33', '-1.96', '-0.84']","['1.28', '-0.18', '-0.10', '-0.28', '-0.26', '-0.23', '-0.34', '-0.15']","['-1', '0', '-0', '1', '0']","['4', '18', '122', '208', '107']"
103,Dev Information Technology Ltd,143,2.95,"['2.30', '2.25', '1.17', '0.17', '0.81', '0.40']","['2.09', '2.05', '1.06', '0.15', '0.74', '0.36']","['0.00', '0.00', '1.86', '-1.34', '2.06']","['162.75', '149.72', '-11.41', '36.13', '-17.26']"
104,Softtech Engineers Ltd,48.2,4.05,"['3.97', '1.46', '5.03', '2.39', '0.34', '2.27']","['4.21', '1.55', '5.34', '2.52', '0.36', '2.39']","['0.12', '-1.24', '0.23']","['109.45', '226.68', '293.00']"
105,Cambridge Technology Enterprises Ltd,7.25,10.6,"['3.09', '2.21', '1.01', '1.28', '0.27', '2.41', '6.33', '-11.99']","['1.57', '1.13', '0.51', '0.65', '0.14', '1.23', '3.22', '-6.11']","['-2', '5', '-4', '-1', '-1']","['88', '69', '63', '38', '159']"
106,IZMO Ltd,8.39,12.0,"['0.55', '0.75', '0.76', '6.15', '3.49', '1.30', '12.01', '8.29']","['0.42', '0.57', '0.58', '4.71', '2.67', '0.99', '9.19', '6.34']","['', '', '', '', '22']","['-1,114', '-251', '100', '82', '40']"
107,SagarSoft (India) Ltd,23.3,21.7,"['1.52', '0.62', '0.95', '0.29', '0.48', '1.14', '1.42', '1.38']","['2.73', '1.12', '1.71', '0.52', '0.86', '2.05', '2.55', '2.48']","['1.20', '-0.16', '-0.90', '-0.08', '1.15']","['15.89', '27.11', '38.08', '35.86', '42.35']"
108,Scanpoint Geomatics Ltd,49.8,3.58,"['0.77', '0.42', '0.53', '0.61', '0.32', '0.31', '0.53', '0.51']","['0.11', '0.06', '0.08', '0.09', '0.05', '0.04', '0.08', '0.07']","['0.01', '-0.01', '0.16', '-0.10', '0.16']","['200.03', '270.84', '142.74', '212.21', '177.53']"
109,Rolta India Ltd,,,"['-1,063', '-2,499', '-167', '-276', '-232', '-240', '-2,130', '-333']","['-64.09', '-150.67', '-10.08', '-16.63', '-13.96', '-14.48', '-128.40', '-20.08']","['-87', '-4', '-13', '138', '-114']","['126', '140', '120', '104', '126']"
110,Odyssey Technologies Ltd,20.3,5.13,"['-0.85', '0.51', '0.04', '0.50', '0.13', '0.43', '-0.41', '0.77']","['-0.96', '0.58', '0.05', '0.56', '0.15', '0.49', '-0.26', '0.49']","['-0.03', '-0.19', '0.14', '0.52', '1.36']","['129.55', '50.77', '54.29', '76.47', '50.51']"
111,Trejhara Solutions Ltd,7.36,2.43,"['0.62', '0.83', '1.76', '2.87', '1.48', '1.55', '2.91', '3.23']","['0.52', '0.70', '1.49', '2.43', '1.25', '1.31', '2.46', '2.73']","['-1', '-0', '1', '-1']","['173', '140', '166', '158']"
112,Alphalogic Techsys Ltd,135,,['0.53'],['0.26'],['0.02'],['14.65']
113,Athena Global Technologies Ltd,,,"['-0.27', '-0.94', '-1.69', '-1.38', '-1.03', '-3.83', '0.25', '-2.24']","['-0.24', '-0.83', '-1.49', '-1.21', '-0.91', '-3.37', '0.22', '-1.97']","['-0.33', '-0.04', '0.10', '-0.48', '0.54']","['290.55', '126.78', '128.09', '79.00', '120.14']"
114,Blue Cloud Softech Solutions Ltd,662,0.21,"['-0.02', '0.00', '0.00', '0.00', '0.00', '-0.04', '-0.01', '0.01']","['-0.01', '0.00', '0.00', '0.00', '0.00', '-0.02', '-0.00', '0.00']","['0.00', '-0.01', '0.00', '0.00', '0.00']","['417.22', '250.94', '202.78', '251.12', '290.51']"
115,Ram Info Ltd,13.0,9.89,"['0.00', '0.63', '0.15', '0.12', '-0.13', '-0.15', '0.71', '0.75']","['0.00', '0.94', '0.22', '0.18', '-0.19', '-0.22', '1.06', '1.12']","['-1', '-0', '-0', '0', '-1']","['226', '298', '1,067', '-256', '-88']"
116,R S Software (India) Ltd,,-32.1,"['-6.27', '-8.89', '-8.64', '-8.68', '-45.31', '-5.55', '-4.74', '-5.11']","['-2.44', '-3.46', '-3.36', '-3.38', '-17.62', '-2.16', '-1.84', '-1.99']","['2', '10', '5', '6', '14']","['36', '53', '38', '44', '45']"
117,Lee & Nee Software (Exports) Ltd,192,0.75,"['-0.00', '0.02', '0.03', '0.11', '-0.09', '-0.04', '0.12', '0.15']","['-0.00', '0.00', '0.01', '0.02', '-0.02', '-0.01', '0.02', '0.03']","['-0.07', '1.36', '0.16', '-1.39', '-0.01']","['354.95', '10.84', '3.43', '23.25', '18.56']"
118,Virtual Global Education Ltd,241,0.48,"['0.16', '0.11', '0.09', '0.09', '0.08', '0.08', '0.12', '0.03']","['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['', '0.04', '-0.05', '0.14', '0.11']","['402.72', '0.00', '0.00', '0.00', '190.50']"
119,Excel Realty N Infra Ltd,,0.48,"['0.59', '0.03', '0.09', '0.04', '-2.88', '-0.25', '0.91', '-0.07']","['0.06', '0.00', '0.01', '0.00', '-0.31', '-0.03', '0.10', '-0.01']","['1.96', '-1.52', '0.11', '-0.10', '-0.49']","['11.26', '127.71', '14.61', '24.38', '112.57']"
120,Danlaw Technologies India Ltd,191,1.40,"['0.77', '0.23', '-1.27', '-2.15', '-1.35', '-1.26', '0.30', '1.59']","['2.08', '0.62', '-3.43', '-5.80', '-3.64', '-3.40', '0.81', '4.29']","['', '', '2', '2', '2']","['489', '286', '142', '178', '179']"
121,Globalspace Technologies Ltd,,16.9,"['0.77', '1.17', '0.44', '-3.17', '4.77', '2.06', '2.23', '2.09']","['0.67', '1.02', '0.38', '-2.77', '4.16', '1.80', '1.95', '1.82']","['0.00', '-0.39', '0.00', '0.08', '-0.07']","['', '4,259.82', '444.65', '487.90', '168.76']"
122,California Software Company Ltd,10.9,-3.38,"['-0.23', '0.27', '0.12', '0.10', '-0.57', '0.18', '0.18', '0.14']","['-0.19', '0.22', '0.10', '0.08', '-0.46', '0.15', '0.12', '0.09']","['-17.41', '-2.04', '-0.78', '-9.18', '-9.40']","['91.95', '73.37', '105.00', '560.21', '29.11']"
123,Tera Software Ltd,291,0.77,"['2.40', '1.61', '1.39', '1.35', '2.17', '-1.24', '0.12', '0.24']","['1.92', '1.29', '1.11', '1.08', '1.73', '-0.99', '0.10', '0.19']","['10', '-11', '7', '-5', '-1']","['83', '54', '-168', '-96', '-52']"
124,Bodhtree Consulting Ltd,9.49,9.28,"['3.59', '0.46', '1.53', '1.89', '0.25', '1.12', '1.26', '1.89']","['1.80', '0.23', '0.77', '0.95', '0.13', '0.56', '0.63', '0.95']","['1', '9', '-9', '0', '0']","['112', '119', '109', '193', '177']"
125,Orchasp Ltd,49.6,0.21,"['1.71', '1.65', '0.85', '0.41', '-2.03', '-0.47', '-0.34', '-0.35']","['0.17', '0.17', '0.09', '0.04', '-0.21', '-0.05', '-0.03', '-0.04']","['0.12', '-0.11', '0.04', '0.21', '-0.25']","['194.58', '207.13', '3,031.90', '797.11', '16,260.68']"
126,HOV Services Ltd,18.6,3.96,"['0.07', '0.34', '0.19', '-0.19', '0.33', '0.25', '0.11', '0.26']","['0.06', '0.27', '0.15', '-0.15', '0.26', '0.20', '0.09', '0.21']","['-2.40', '-5.08', '15.47', '-9.45', '-6.04']","['59.88', '68.90', '62.33', '108.04', '60.66']"
127,Starcom Information Technology Ltd,,-622,"['0.04', '0.01', '0.02', '0.01', '-1.08', '-0.28', '-0.45', '-0.05']","['0.08', '0.02', '0.04', '0.02', '-2.16', '-0.56', '-0.90', '-0.10']","['-1.75', '5.12', '-5.07', '0.01', '0.18']","['0.00', '', '', '105.44', '10.25']"
128,AAA Technologies Ltd,53.2,7.00,"['0.18', '0.32', '0.51']","['', '', '0.60']","['0.00', '0.00', '0.00', '0.00', '0.00']","['12.66', '25.85', '48.09', '66.70', '64.56']"
129,We Win Ltd,45.0,6.94,"['0.46', '1.21', '0.05', '1.31']","['0.45', '1.19', '0.05', '1.29']","['-0.02', '-0.07', '0.00', '0.14', '0.35']","['98.09', '92.18', '57.35', '55.60', '64.13']"
130,Reliable Data Services Ltd,34.9,4.62,"['2.08', '2.16', '0.67', '2.98', '-0.24', '1.80', '1.60']","['2.02', '2.10', '0.65', '2.89', '-0.23', '1.74', '1.55']","['-0.98', '0.28', '0.99', '-1.17', '-0.87']","['29.72', '88.98', '93.35', '69.54', '103.43']"
131,Secmark Consultancy Ltd,34.9,12.5,"['0.31', '0.76', '-0.40', '1.97', '0.48']","['', '', '-0.97', '4.78', '1.16']","['0.00', '0.00', '0.00', '0.00', '0.00']","['121.67', '54.75', '32.85', '60.06', '41.18']"
132,Network People Services Technologies Ltd,46.9,17.2,"['0.36', '0.64']","['0.80', '0.99']","['-0.84', '-0.86', '0.30', '0.11']","['57.08', '50.93', '51.66', '175.36']"
133,B2B Software Technologies Ltd,19.4,15.9,"['-0.12', '0.14', '0.44', '0.38', '-0.05', '0.34', '0.44', '0.70']","['-0.10', '0.12', '0.38', '0.33', '-0.04', '0.29', '0.38', '0.60']","['0.21', '1.18', '0.63', '0.21', '0.34']","['40.89', '-106.45', '-177.66', '-99.85', '-10.84']"
134,Megri Soft Ltd,106,1.88,"['0.09', '0.07', '0.07', '0.12', '0.08', '0.07', '0.06', '0.12']","['0.29', '0.22', '0.22', '0.38', '0.25', '0.22', '0.19', '0.38']","['0.29', '0.99', '-1.15', '0.08', '0.07']","['79.48', '37.26', '18.02', '26.00', '68.17']"
135,Saven Technologies Ltd,15.3,11.3,"['0.62', '0.63', '0.62', '0.74', '0.59', '0.41', '0.53', '0.49']","['0.57', '0.58', '0.57', '0.68', '0.54', '0.38', '0.49', '0.45']","['0.44', '0.13', '0.98', '3.17', '4.29']","['372.27', '285.47', '191.66', '105.12', '114.11']"
136,Atishay Ltd,111,6.32,"['1.11', '0.41', '1.23', '0.35', '0.45', '0.58', '0.89', '0.66']","['1.01', '0.37', '1.12', '0.32', '0.41', '0.53', '0.81', '0.60']","['-0.77', '-0.14', '0.14', '-0.71', '-1.82']","['8.90', '6.93', '31.38', '117.77', '107.73']"
137,LCC Infotech Ltd,,-2.49,"['-0.01', '0.00', '-0.01', '0.00', '-0.03', '-0.08', '-0.07', '-0.32']","['-0.00', '0.00', '-0.00', '0.00', '-0.00', '-0.01', '-0.01', '-0.03']","['0.01', '0.11', '0.00', '0.01', '-0.05']","['304.08', '324.10', '554.59', '611.22', '618.14']"
138,Paramone Concepts Ltd,5.34,31.7,"['-6.63', '7.55', '-1.71', '-1.40', '-5.10', '0.87', '0.13', '0.80']","['-4.38', '4.99', '-1.13', '-0.93', '-3.37', '0.58', '0.09', '0.53']","['-0.06', '0.10', '-0.08', '-0.01', '0.02']","['0.00', '0.00', '88.70', '21.79', '42.96']"
139,Vivo Collaboration Solutions Ltd,13.2,116,['1.11'],['7.51'],"['0.74', '-0.67', '0.00']","['-110.91', '-102.41', '-114.65']"
140,Cranes Software International Ltd,,,"['-73.86', '-3.42', '-0.57', '-3.93', '-27.47', '-2.82', '-5.70', '1.18']","['-6.27', '-0.29', '-0.05', '-0.33', '-2.33', '-0.24', '-0.48', '0.10']","['-237', '-2', '5', '-6', '-2']","['570', '190', '197', '50', '13']"
141,PCS Technology Ltd,173,0.99,"['-1.90', '0.32', '-3.27', '-1.38', '-0.95', '0.20', '-0.10', '0.67']","['-0.91', '0.15', '-1.56', '-0.66', '-0.45', '0.10', '-0.05', '0.32']","['-1.17', '-0.40', '-0.26', '-6.04', '-0.19']","['144.92', '144.01', '58.44', '92.99', '183.76']"
142,Continental Chemicals Ltd,149,3.83,"['0.28', '0.03', '0.03', '-0.01', '0.01', '0.01', '0.03', '0.00']","['', '', '', '-0.04', '0.04', '0.04', '0.13', '0.00']","['0.01', '-0.01', '0.00', '-0.34', '0.31']","['1,946.67', '188.26', '477.31', '0.00', '0.00']"
143,Spacenet Enterprises India Ltd,,,"['0.08', '-0.11', '-0.04', '0.01', '-5.05', '-0.24', '-0.30', '0.10']","['0.02', '-0.02', '-0.01', '0.00', '-1.03', '-0.05', '-0.06', '0.02']","['', '0.15', '-0.20', '0.11', '-0.10']","['', '261.23', '173.45', '10.53', '73.65']"
144,USG Tech Solutions Ltd,,-12.4,"['0.20', '-0.23', '-0.18', '-0.20', '-0.73', '-0.37', '-1.27', '0.33']","['0.05', '-0.06', '-0.05', '-0.05', '-0.19', '-0.09', '-0.32', '0.08']","['-0.08', '-0.08', '-1.24', '-0.75', '-0.08']","['1,889.50', '765.34', '3,492.85', '3,540.97', '745.39']"
145,7Seas Entertainment Ltd,15.4,,"['-10.12', '-0.14', '-0.16', '-0.24', '-1.02', '-0.16', '-0.17', '-0.17']","['-9.11', '-0.13', '-0.14', '-0.22', '-0.92', '-0.14', '-0.15', '-0.15']","['-0.49', '0.89', '-0.48', '-0.41', '0.00']","['92.72', '132.46', '119.01', '355.82', '1,993.79']"
146,ERP Soft Systems Ltd,218,1.68,"['0.01', '0.07', '0.06', '0.04', '-0.05', '0.06', '0.15', '0.11']","['0.03', '0.18', '0.15', '0.10', '-0.13', '0.15', '0.38', '0.28']","['', '-0.23', '0.07', '0.22', '-0.39']","['0.00', '394.11', '373.09', '20.94', '40.05']"
147,Quadpro ITeS Ltd,41.5,29.3,"['0.02', '0.27']","['0.10', '0.11']","['-0.30', '0.00', '0.21']","['29.85', '43.02', '67.71']"
148,Platinumone Business Services Ltd,25.9,17.9,['1.14'],['7.20'],"['0.69', '-1.20', '0.07']","['86.63', '109.68', '146.62']"
